Aamer Hanif,Hanif Mohammad
Aamer Sohail,Sohail Fazal
Aamer Sohail,Sohail Khan
Aamer Sohail,Sohail Tanvir
Aaqib Javed,Javed Akhtar
Aaqib Javed,Javed Burki
Aaqib Javed,Javed Miandad
Aaqib Javed,Javed Omar
Aaqib Javed,Javed Qadeer
Aftab Ahmed,Ahmed Kamal
Aftab Ahmed,Ahmed Shehzad
Aftab Gul,Gul Mohammad
Agha Saadat Ali,Ali Hussain Rizvi
Agha Saadat Ali,Ali Naqvi
Agha Zahid,Zahid Ahmed
Agha Zahid,Zahid Fazal
Agha Zahid,Zahid Razzak
Akhtar Sarfraz,Sarfraz Ahmed
Akhtar Sarfraz,Sarfraz Nawaz
Akram Khan,Khan Mohammad
Alamgir Kabir,Kabir Khan
Alimuddin,Alimuddin
Anwar Ali,Ali Hussain Rizvi
Anwar Ali,Ali Naqvi
Anwar Khan,Khan Mohammad
Arshad Khan,Khan Mohammad
Arshad Pervez,Pervez Mir
Arshad Pervez,Pervez Sajjad
Asad Shafiq,Shafiq Ahmed
Ashfaq Ahmed,Ahmed Kamal
Ashfaq Ahmed,Ahmed Shehzad
Ashraf Ali,Ali Hussain Rizvi
Ashraf Ali,Ali Naqvi
Asif Iqbal,Iqbal Qasim
Asif Iqbal,Iqbal Sikander
Asif Mahmood,Mahmood Hamid
Asif Mahmood,Mahmood Hussain
Asif Masood,Masood Anwar
Asif Masood,Masood Iqbal
Ata-ur-Rehman,Ata-ur-Rehman
Athar Ali Khan,Khan Mohammad
Atiq-uz-Zaman,Atiq-uz-Zaman
Azam Khan,Khan Mohammad
Azhar Ali,Ali Hussain Rizvi
Azhar Ali,Ali Naqvi
Azhar Khan,Khan Mohammad
Azhar Mahmood,Mahmood Hamid
Azhar Mahmood,Mahmood Hussain
Basit Ali,Ali Hussain Rizvi
Basit Ali,Ali Naqvi
Bazid Khan,Khan Mohammad
Ehteshamuddin,Ehteshamuddin
Faisal Athar,Athar Ali Khan
Faisal Iqbal,Iqbal Qasim
Faisal Iqbal,Iqbal Sikander
Faruk Ahmed,Ahmed Kamal
Faruk Ahmed,Ahmed Shehzad
Fazal Mahmood,Mahmood Hamid
Fazal Mahmood,Mahmood Hussain
Fazl-e-Akbar,Fazl-e-Akbar
Gazi Ashraf,Ashraf Ali
Ghulam Ali,Ali Hussain Rizvi
Ghulam Ali,Ali Naqvi
Gul Mohammad,Mohammad Akram
Gul Mohammad,Mohammad Amir
Gul Mohammad,Mohammad Ashraful
Gul Mohammad,Mohammad Asif
Gul Mohammad,Mohammad Aslam
Gul Mohammad,Mohammad Farooq
Gul Mohammad,Mohammad Hafeez
Gul Mohammad,Mohammad Hussain
Gul Mohammad,Mohammad Ilyas
Gul Mohammad,Mohammad Irfan
Gul Mohammad,Mohammad Khalil
Gul Mohammad,Mohammad Munaf
Gul Mohammad,Mohammad Nazir
Gul Mohammad,Mohammad Rafique
Gul Mohammad,Mohammad Ramzan
Gul Mohammad,Mohammad Salim
Gul Mohammad,Mohammad Salman
Gul Mohammad,Mohammad Sami
Gul Mohammad,Mohammad Sharif
Gul Mohammad,Mohammad Talha
Gul Mohammad,Mohammad Wasim
Gul Mohammad,Mohammad Yousuf
Gul Mohammad,Mohammad Zahid
Haafiz Shahid,Shahid Afridi
Haafiz Shahid,Shahid Anwar
Haafiz Shahid,Shahid Israr
Haafiz Shahid,Shahid Mahboob
Haafiz Shahid,Shahid Mahmood
Haafiz Shahid,Shahid Nazir
Haafiz Shahid,Shahid Saeed
Hammad Azam,Azam Khan
Hanif Mohammad,Mohammad Akram
Hanif Mohammad,Mohammad Amir
Hanif Mohammad,Mohammad Ashraful
Hanif Mohammad,Mohammad Asif
Hanif Mohammad,Mohammad Aslam
Hanif Mohammad,Mohammad Farooq
Hanif Mohammad,Mohammad Hafeez
Hanif Mohammad,Mohammad Hussain
Hanif Mohammad,Mohammad Ilyas
Hanif Mohammad,Mohammad Irfan
Hanif Mohammad,Mohammad Khalil
Hanif Mohammad,Mohammad Munaf
Hanif Mohammad,Mohammad Nazir
Hanif Mohammad,Mohammad Rafique
Hanif Mohammad,Mohammad Ramzan
Hanif Mohammad,Mohammad Salim
Hanif Mohammad,Mohammad Salman
Hanif Mohammad,Mohammad Sami
Hanif Mohammad,Mohammad Sharif
Hanif Mohammad,Mohammad Talha
Hanif Mohammad,Mohammad Wasim
Hanif Mohammad,Mohammad Yousuf
Hanif Mohammad,Mohammad Zahid
Harunur Rashid,Rashid Khan
Harunur Rashid,Rashid Latif
Ijaz Ahmed,Ahmed Kamal
Ijaz Ahmed,Ahmed Shehzad
Imran Khan,Khan Mohammad
Imtiaz Ahmed,Ahmed Kamal
Imtiaz Ahmed,Ahmed Shehzad
Inzamam-ul-Haq,Inzamam-ul-Haq
Iqbal Qasim,Qasim Umar
Iqbal Sikander,Sikander Bakht
Israr Ali,Ali Hussain Rizvi
Israr Ali,Ali Naqvi
Jalal-ud-Din,Jalal-ud-Din
Jamaluddin Ahmed,Ahmed Kamal
Jamaluddin Ahmed,Ahmed Shehzad
Javed Akhtar,Akhtar Sarfraz
Junaid Khan,Khan Mohammad
Kabir Khan,Khan Mohammad
Khalid Hasan,Hasan Jamil
Khalid Hasan,Hasan Raza
Khalid Wazir,Wazir Mohammad
Khan Mohammad,Mohammad Akram
Khan Mohammad,Mohammad Amir
Khan Mohammad,Mohammad Ashraful
Khan Mohammad,Mohammad Asif
Khan Mohammad,Mohammad Aslam
Khan Mohammad,Mohammad Farooq
Khan Mohammad,Mohammad Hafeez
Khan Mohammad,Mohammad Hussain
Khan Mohammad,Mohammad Ilyas
Khan Mohammad,Mohammad Irfan
Khan Mohammad,Mohammad Khalil
Khan Mohammad,Mohammad Munaf
Khan Mohammad,Mohammad Nazir
Khan Mohammad,Mohammad Rafique
Khan Mohammad,Mohammad Ramzan
Khan Mohammad,Mohammad Salim
Khan Mohammad,Mohammad Salman
Khan Mohammad,Mohammad Sami
Khan Mohammad,Mohammad Sharif
Khan Mohammad,Mohammad Talha
Khan Mohammad,Mohammad Wasim
Khan Mohammad,Mohammad Yousuf
Khan Mohammad,Mohammad Zahid
Khurram Manzoor,Manzoor Akhtar
Khurram Manzoor,Manzoor Elahi
Liaqat Ali,Ali Hussain Rizvi
Liaqat Ali,Ali Naqvi
Mahmudullah,Mahmudullah
Majid Khan,Khan Mohammad
Mansoor Akhtar,Akhtar Sarfraz
Manzoor Akhtar,Akhtar Sarfraz
Maqsood Ahmed,Ahmed Kamal
Maqsood Ahmed,Ahmed Shehzad
Masood Anwar,Anwar Ali
Masood Anwar,Anwar Hossain
Masood Anwar,Anwar Hossain Monir
Masood Anwar,Anwar Hussain
Masood Anwar,Anwar Khan
Masood Iqbal,Iqbal Qasim
Masood Iqbal,Iqbal Sikander
Misbah-ul-Haq,Misbah-ul-Haq
Mohammad Akram,Akram Khan
Mohammad Akram,Akram Raza
Mohammad Amir,Amir Elahi
Mohammad Asif,Asif Iqbal
Mohammad Asif,Asif Mahmood
Mohammad Asif,Asif Masood
Mohammad Asif,Asif Mujtaba
Mohammad Farooq,Farooq Hamid
Mohammad Irfan,Irfan Bhatti
Mohammad Irfan,Irfan Fazil
Mohammad Salman,Salman Butt
Mohammad Talha,Talha Jubair
Mohammad Wasim,Wasim Akram
Mohammad Wasim,Wasim Bari
Mohammad Wasim,Wasim Haider
Mohammad Wasim,Wasim Raja
Mohammad Zahid,Zahid Ahmed
Mohammad Zahid,Zahid Fazal
Mohammad Zahid,Zahid Razzak
Mohsin Khan,Khan Mohammad
Moin Khan,Khan Mohammad
Moin-ul-Atiq,Moin-ul-Atiq
Moniruzzaman,Moniruzzaman
Morshed Ali Khan,Khan Mohammad
Mudassar Nazar,Nazar Mohammad
Mufasir-ul-Haq,Mufasir-ul-Haq
Mushtaq Ahmed,Ahmed Kamal
Mushtaq Ahmed,Ahmed Shehzad
Mushtaq Mohammad,Mohammad Akram
Mushtaq Mohammad,Mohammad Amir
Mushtaq Mohammad,Mohammad Ashraful
Mushtaq Mohammad,Mohammad Asif
Mushtaq Mohammad,Mohammad Aslam
Mushtaq Mohammad,Mohammad Farooq
Mushtaq Mohammad,Mohammad Hafeez
Mushtaq Mohammad,Mohammad Hussain
Mushtaq Mohammad,Mohammad Ilyas
Mushtaq Mohammad,Mohammad Irfan
Mushtaq Mohammad,Mohammad Khalil
Mushtaq Mohammad,Mohammad Munaf
Mushtaq Mohammad,Mohammad Nazir
Mushtaq Mohammad,Mohammad Rafique
Mushtaq Mohammad,Mohammad Ramzan
Mushtaq Mohammad,Mohammad Salim
Mushtaq Mohammad,Mohammad Salman
Mushtaq Mohammad,Mohammad Sami
Mushtaq Mohammad,Mohammad Sharif
Mushtaq Mohammad,Mohammad Talha
Mushtaq Mohammad,Mohammad Wasim
Mushtaq Mohammad,Mohammad Yousuf
Mushtaq Mohammad,Mohammad Zahid
Nadeem Khan,Khan Mohammad
Naeem Ahmed,Ahmed Kamal
Naeem Ahmed,Ahmed Shehzad
Naeem Ashraf,Ashraf Ali
Nafees Iqbal,Iqbal Qasim
Nafees Iqbal,Iqbal Sikander
Nasim-ul-Ghani,Nasim-ul-Ghani
Nasir Ahmed,Ahmed Kamal
Nasir Ahmed,Ahmed Shehzad
Naumanullah,Naumanullah
Naushad Ali,Ali Hussain Rizvi
Naushad Ali,Ali Naqvi
Naved Ashraf,Ashraf Ali
Naved-ul-Hasan,Naved-ul-Hasan
Nazar Mohammad,Mohammad Akram
Nazar Mohammad,Mohammad Amir
Nazar Mohammad,Mohammad Ashraful
Nazar Mohammad,Mohammad Asif
Nazar Mohammad,Mohammad Aslam
Nazar Mohammad,Mohammad Farooq
Nazar Mohammad,Mohammad Hafeez
Nazar Mohammad,Mohammad Hussain
Nazar Mohammad,Mohammad Ilyas
Nazar Mohammad,Mohammad Irfan
Nazar Mohammad,Mohammad Khalil
Nazar Mohammad,Mohammad Munaf
Nazar Mohammad,Mohammad Nazir
Nazar Mohammad,Mohammad Rafique
Nazar Mohammad,Mohammad Ramzan
